,PID,Label,Description,Relevant
968,P1324,source code repository URL,public source code repository,no
969,P1325,external data available at URL,URL where external data on this item can be found,no
970,P1326,latest date,latest possible time that something could have occurred. Use as qualifier for other date properties,no
971,P1327,partner in business or sport,professional collaborator,yes
972,P1329,phone number,"""telephone number in standard format  (RFC3966), without 'tel:' prefix""",no
973,P1330,MusicBrainz instrument ID,identifier for an instrument on the music encyclopedia MusicBrainz,no
974,P1331,PACE member ID,identifier for a member of the Parliamentary Assembly of the Council of Europe,yes
975,P1332,coordinates of northernmost point,northernmost point of a location. For an administrative entity this includes offshore islands,no
976,P1333,coordinates of southernmost point,southernmost point of a place. For administrative entities this includes offshore islands,no
977,P1334,coordinates of easternmost point,easternmost point of a location,no
978,P1335,coordinates of westernmost point,westernmost point of a location,no
979,P1336,territory claimed by,administrative divisions that claim control of a given area,no
980,P1338,EPSG CRS,identifier for coordinate reference systems per European Petroleum Survey Group Geodetic Dataset,no
981,P1339,number of injured,number of people with non-fatal injuries in an event,no
982,P1340,eye color,color of the irises of a person's eyes,yes
983,P1341,Italian Chamber of Deputies dati ID,identifier for incumbent and former deputies from the Italian Chamber of Deputies,yes
984,P1342,number of seats,total number of seats/members in an assembly (legislative house or similar),no
985,P1343,described by source,work where this item is described,yes
986,P1344,participant in,event in which a person or organization was/is a participant; inverse of P710 or P1923,yes
987,P1345,number of victims of killer,"people killed by the subject, both legal and illegal",no
988,P1346,winner,"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles",yes
989,P1347,military casualty classification,"allowed values: killed in action (Q210392), missing in action (Q2344557), died of wounds (Q16861372), prisoner of war (Q179637), killed in flight accident (Q16861407), others used in military casualty classification",no
990,P1348,AlgaeBase URL,URL for a taxon in AlgaeBase.org,no
991,P1349,ploidy,"ploidy of a genome, a taxon or an anatomical entity",no
992,P1350,number of matches played/ races / starts,matches or games a player or a team played during an event. Also a total number of matches a player officially appeared in during the whole career.,yes
993,P1351,number of points / goals / set scored,goals / points scored in a match or an event used as qualifier to the participant. Use P1358 for league points.,yes
994,P1352,ranking,"""subject's ordinal position as qualitatively evaluated relative to other members of a group""",yes
995,P1353,original spelling,original spelling of a scientific name,no
996,P1354,shown with features,"secondary features depicted in a work. Use as qualifier for ""depicts"" (P180)",no
997,P1355,number of wins,"number of sporting matches, games or events won",yes
998,P1356,number of losses,"number of sporting matches, games or events lost",yes
999,P1357,number of draws/ties,number of matches or games drawn or tied in a league or an event,yes
1000,P1358,points for,number of points in a league table or decathlon. (Use P1351 for goals/points in a match),yes
1001,P1359,number of points/goals conceded,points conceded or goals against (use in league table items),yes
1002,P1360,Monte Carlo Particle Number,number given to each elementary particle,no
1003,P1362,Theaterlexikon der Schweiz ID,identifier in the online edition of the Theater Dictionary of,no
1004,P1363,points/goal scored by,person who scored a point or goal in a game,yes
1005,P1364,World Table Tennis player ID,6-digit identifier for a table tennis player at the World Table Tennis (WTT) website,yes
1006,P1365,replaces,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures.",yes
1007,P1366,replaced by,other person or item which continues the item by replacing it in its role,yes
1008,P1367,Art UK artist ID,authority control identifier for artists (creators of publicly owned oil paintings in the UK),yes
1009,P1368,National Library of Latvia ID,identifier assigned by the National Library of Latvia,no
1010,P1369,Iranian National Heritage registration number,identifier in the Iranian National Heritage database,yes
1011,P1370,IHSI ID,identifier for an administrative territorial entity in Haiti,no
1012,P1371,ASI Monument ID,identifier assigned to monuments catalogued by the Archaeological Survey of India,yes
1013,P1372,binding of software library,software library in another programming language provided by the subject software binding,no
1014,P1373,daily patronage,"number of daily passengers, patrons or visitors in specified time period",no
1015,P1375,NSK ID,identifier for an item in the National and University Library in Zagreb (including leading zeroes),no
1016,P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat",yes
1017,P1377,MTR station code,identifier for a station in Hong Kong issued by MTR,no
1018,P1378,China railway TMIS station code,identifier for a railway station used in China railway system,no
1019,P1380,BridgeReports.com ID,identifier from database based on the National Bridge Inventory. Lists every U.S. bridge over 20 feet (6 meters) long,no
1020,P1381,bridgehunter.com ID,identifier from a database of historic bridges,no
1021,P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members",no
1022,P1383,contains settlement,settlement which an administrative division contains,no
1023,P1385,Enciclopédia Açoriana ID,identifier for an item in Enciclopédia Açoriana,no
1024,P1386,Japanese High School Code,identifier for a high school in Japan,no
1025,P1387,political alignment,political position within the left–right political spectrum,yes
1026,P1388,German regional key,identifier for municipalities and other areas in Germany,no
1027,P1389,product certification,"certification for a product, qualify with P1001 (""applies to jurisdiction"") if needed",no
1028,P1390,match time of event,time into a game when an event occurs (use with a unit),yes
1029,P1391,Index Fungorum taxon ID,identifier for a fungus taxon in Index Fungorum,no
1030,P1392,ComicBookDB Creator ID,identifier for creators at the online database ComicBookDB,yes
1031,P1393,proxy,person authorized to act for another,no
1032,P1394,Glottolog code,identifier for a languoid in the Glottolog database,no
1033,P1395,National Cancer Institute ID,identifier at www. cancer.gov,no
1034,P1396,Linguasphere code,identifier for a language from Linguasphere Observatory,no
1035,P1397,State Catalogue of Geographical Names (Russia) ID,identifier in State Catalogue of Geographical Names (Russia),no
1036,P1398,structure replaces,"the item this building or structure replaced, at the same geographic location",no
1037,P1399,convicted of,crime a person was convicted of,yes
1038,P1400,FCC Facility ID,U. S. ID number for broadcast stations,yes
1039,P1401,issue tracker URL,"web page where bugs, issues, and feature requests for a particular software program can be listed or reported",no
1040,P1402,Foundational Model of Anatomy ID,identifier for human anatomical terminology,no
1041,P1403,original combination,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published,no
1042,P1404,World Glacier Inventory ID,identifier in the World Glacier Inventory database,no
1043,P1406,script directionality,direction that a writing system goes in,no
1044,P1407,MusicBrainz series ID,identifier for a series per the MusicBrainz open music encyclopedia,yes
1045,P1408,licensed to broadcast to,place that a radio/TV station is licensed/required to broadcast to,yes
1046,P1409,Cycling Archives cyclist ID,identifier in the Cycling Archives,yes
1047,P1410,number of seats in assembly,"number of seats a political party, faction, or group has in a given assembly",no
1048,P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))",yes
1049,P1412,"languages spoken, written or signed","language(s) that a person or a people speaks, writes or signs, including the native language(s)",no
1050,P1414,GUI toolkit or framework,framework or toolkit a program uses to display the graphical user interface,no
1051,P1415,Oxford Dictionary of National Biography ID,identifier used by the Oxford Dictionary of National Biography,yes
1052,P1416,affiliation,organization that a person or organization is affiliated with (not necessarily member of or employed by),yes
1053,P1417,Encyclopædia Britannica Online ID,identifier for an article in the online version of Encyclopædia Britannica,yes
1054,P1418,orbits completed,number of orbits a spacecraft has done around a body,no
1055,P1419,shape,shape of an object,no
1056,P1420,taxon synonym,"""name listed as synonym of this item's taxon name""",no
1057,P1421,GRIN URL,URL for a taxon in the GRIN website,no
1058,P1422,Sandrart.net person ID,personal Identification number in Research Platform for Art and Cultural History of the 17th Century (Sandrart. net),no
1059,P1423,template has topic,topic related to template,no
1060,P1424,topic' s main template,the main template relating to a topic,no
1061,P1425,ecoregion (WWF),ecoregion of the item (choose from WWF 's list),no
1062,P1427,start point,"starting place of this journey, flight, voyage, trek, migration etc.",no
1063,P1428,Lost Art ID,identifier on the German Lost Art Foundation website,no
1064,P1429,has pet,pet that a person owns,no
1065,P1430,Open Plaques subject ID,identifier for a person or other subject included in the OpenPlaques website,no
1066,P1431,executive producer,"executive producer of a movie, TV show, or other piece of media or entertainment",yes
1067,P1433,published in,"larger work that a given work was published in, like a book, journal or music album",no
1068,P1434,takes place in fictional universe,"the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe",yes
1069,P1435,heritage designation,heritage designation of a cultural or natural site,no
1070,P1436,collection or exhibition size,number of items in a collection or exhibition,no
1071,P1437,plea,"whether a person pleaded guilty, not guilty, etc.",no
1072,P1438,Jewish Encyclopedia ID (Russian),Article ID in the Electronic Jewish Encyclopedia in Russian,no
1073,P1439,Norwegian filmography ID,"identifier from Norsk filmografi, published by the National Library of Norway",yes
1074,P1440,FIDE player ID,identifier on the FIDE database for chess players,yes
1075,P1441,present in work,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration",yes
1076,P1442,image of grave,"""picture of a person or animal's grave, gravestone or tomb""",no
1077,P1443,score method,"qualifier of ""points/goal scored by (P1363)""",yes
1078,P1444,destination point,"destination for this route (journey, flight, sailing, exploration, migration, etc.)",no
1079,P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>",yes
1080,P1446,number of missing,"number of people missing after an event - qualify with ""point in time (P585)""",no
1081,P1447,Sports-Reference.com Olympic athlete ID (archived),identifier for an Olympic athlete (sportsperson) at sports-reference. com/olympics/athletes/,yes
1082,P1448,official name,official name of the subject in its official language(s),no
1083,P1449,nickname,informal name (for a pseudonym use P742),yes
1084,P1450,Sandbox-Monolingual text,Sandbox for testing the monolingual text datatype,no
1085,P1451,motto text,short motivation sentence associated to item,no
1086,P1453,catholic.ru ID,identifier on the site catholic. ru,no
1087,P1454,legal form,legal form of an entity,no
1088,P1455,list of works,link to the article with the works of a person; use P358 for discographies,yes
1089,P1456,list of monuments,link to the list of heritage monuments in the place/area,no
1090,P1457,absolute magnitude,absolute magnitude of an astronomic object,no
1091,P1458,color index,color index of an astronomical object,no
1092,P1459,Cadw Building ID,identifier for listed buildings in Wales,no
1093,P1460,NIEA building ID,identifier for listed buildings in Northern Ireland,no
1094,P1461,Patientplus ID,identifier of disease at Patient UK,no
1095,P1462,standards body,organisation that published or maintains the standard governing an item,no
1096,P1463,Post-Reformation Digital Library author ID,identifier from Post-Reformation Digital Library,yes
1097,P1464,category for people born here,category item that groups people born in this place,yes
1098,P1465,category for people who died here,category item for people who died in this location,yes
1099,P1466,WALS lect code,identifier for a language,no
1100,P1467,WALS genus code,identifier for a language genus,no
1101,P1468,WALS family code,identifier for a language family in the World Atlas of Language Structures,no
1102,P1469,FIFA player ID (archived),identifier for a association football player per FIFA,yes
1103,P1470,maximum glide ratio,maximum glide ratio of an aircraft,no
1104,P1471,reporting mark,reporting mark for railroads in North America,no
1105,P1472,Commons Creator page,"name of Commons Infobox template residing in ""Creator"" namespace on Wikimedia Commons",yes
1106,P1473,BLPL author ID,identifier for an author from Nupill Literatura Digital,yes
1107,P1474,BLPL document ID,identifier for a document in Nupill Literatura Digital,yes
1108,P1476,title,"published name of a work, such as a newspaper article, a literary work, piece of music, etc.",yes
1109,P1477,birth name,"full name of a person at birth, if different from their current, generally used name",no
1110,P1478,has immediate cause,nearest thing that directly resulted in the subject as outcome or effect,no
1111,P1479,has contributing factor,significantly influenced but did not directly cause this outcome,no
1112,P1480,sourcing circumstances,qualification of the truth or accuracy of a source,no
1113,P1481,vici.org ID,identifier on vici. org archaeological atlas of antiquity,yes
1114,P1482,Stack Exchange tag,tag on the Stack Exchange websites,yes
1115,P1483,kulturnoe-nasledie.ru ID,identifier for a cultural heritage register in Russia,yes
1116,P1529,Gertrude ID,identifier for a cultural property per the Glad database of French cultural heritage,yes
1117,P1531,hybrid of,parent of this hybrid breed or cultivar,no
1118,P1533,family name identical to this given name,last name that is the same as a given first name. Use on items for given names,no
1119,P1534,end cause,qualifier used together with the end date qualifier  (P582) to specify the reason for the end,no
1120,P1535,used by,item or concept that makes use of the subject  (use sub-properties when appropriate),no
1121,P1536,immediate cause of,immediate effect of this cause,no
1122,P1537,contributing factor of,"""thing that is significantly influenced by this cause, but does not directly result from it.  See 'Help:Modeling causes' for examples and discussion.""",no
1123,P1538,number of households,"total number of households in this place, includes dwellings of all types",no
1124,P1539,female population,number of female people inhabiting the place; number of female people of subject,no
1125,P1540,male population,number of male people inhabiting the place; number of male people of subject,no
1126,P1541,CQ Ranking male cyclist ID,identifier for a male cyclist at cqranking.com,yes
1127,P1542,has effect,effect of this item,no
1128,P1543,monogram,"image of the monogram identifying the person or institution (stamp, publisher mark...), often affixed to another item to trace its origin, authenticity or certification, often in a dated stamp or seal",yes
1129,P1544,Federal Register Document Number,authority file ID in the United States Federal Register,no
1130,P1545,series ordinal,"position of an item in its parent series (most frequently a 1-ased index), generally to be used as a qualifier (different from ""rank"" defined as a class, and from ""ranking"" defined as a property for evaluating a quality)",no
1131,P1546,motto,description of the motto of the subject,yes
1132,P1547,depends on software,subject software depends on object software,no
1133,P1548,maximum Strahler number,"highest Strahler number of a stream, creek, or river",no
1134,P1549,demonym,"name for people or things associated with a given place, usually based off the place name",yes
1135,P1550,Orphanet ID,identifier in the Orpha.net database (without ORPHA prefix),no
1136,P1551,Exceptional heritage of Wallonia ID,"unique identifier of the ""Patrimoine immobilier exceptionnel de la Région wallonne""",yes
1137,P1552,has characteristic,inherent or distinguishing quality or feature of the entity. Use a more specific property when possible,yes
1138,P1553,Yandex Music artist ID,identifier for an artist on Yandex Music,yes
1139,P1554,UBERON ID,identifier from UBERON ontology (without prefix),no
1140,P1555,Executive Order number,identifier for an executive order of the US,no
1141,P1556,zbMATH author ID,identifier of a person in the Zentralblatt MATH database,no
1142,P1557,manifestation of,inherent and characteristic embodiment of a given concept,no
1143,P1558,tempo marking,qualitative indication about the speed or pace of a given musical piece (use P1725 for numerical tempo markings),no
1144,P1559,name in native language,name of a person in their native language,yes
1145,P1560,given name version for other gender,"equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one",yes
1146,P1561,number of survivors,number of people surviving an event,no
1147,P1562,AllMovie title ID,identifier for a work on the website AllMovie,yes
1148,P1563,MacTutor biography ID,identifier of the person's biography in the MacTutor History of Mathematics archive,yes
1149,P1564,At the Circulating Library ID,identifier in the At the Circulating Library Victorian literature database,no
1150,P1565,Enciclopedia de la Literatura en México ID,identifier for a topic in the Enciclopedia de la Literatura en México,no
1151,P1566,GeoNames ID,identifier in the GeoNames geographical database,yes
1152,P1567,NIS/INS code,Belgian municipality codes maintained by Statistics Belgium,no
1153,P1568,definition domain,"set of ""input"" or argument values for which a mathematical function is defined; subset of input set",no
1154,P1571,codomain,codomain of a function,no
1155,P1573,BBC Genome ID,identifier for a single episode/programme in the BBC Genome database of Radio Times programme listings,yes
1156,P1574,exemplar of,Links an individual copy of a work to the item for that work or edition,no
1157,P1575,RISS catalog,"union catalog of South Korea, maintained by KERIS",no
1158,P1576,lifestyle,"typical way of life of an individual, group, or culture",no
1159,P1577,Gregory-Allen-Number,identifier for Greek manuscripts of the New Testament,no
1160,P1578,Gmelin number,"identifier for inorganic chemical compounds, in the Gmelin database",no
1161,P1579,Reaxys registry number,identifier for chemical substance in Reaxys,no
1162,P1580,University of Barcelona authority ID (former scheme),register of authorities of the University of Barcelona; replaced by P11686,no
1163,P1581,official blog URL,URL to the blog of this person or organization,yes
1164,P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc.)",no
1165,P1583,MalaCards ID,identifier in the Malacards database of diseases,no
1166,P1584,Pleiades ID,identifier for a place in Pleiades hosted at pleiades.stoa.org,no
1167,P1585,Brazilian municipality code,identifier for municipalities in Brazil,no
1168,P1586,Catalan object of cultural interest ID,{},no
1169,P1587,Slovene Cultural Heritage Register ID,identifier for a cultural monument in the Slovene Cultural Heritage Register,no
1170,P1588,Statistics Indonesia area code,"unique code for a place, last issued in 2021 by Statistics Indonesia (Badan Pusat Statistik)",no
1171,P1589,lowest point,point with lowest elevation in a region or path,no
1172,P1590,number of casualties,number of people dead or injured because of this event.  Used when precise data on number of deaths and number of injured is unavailable.,yes
1173,P1591,defendant,person or organization accused at a trial,yes
1174,P1592,prosecutor,"person representing the prosecuting authority, at a trial",yes
1175,P1593,defender,"person representing the defendant, at a trial",yes
1176,P1594,judge,"judge, magistrate or equivalent, presiding at a trial",yes
1177,P1595,charge,"offence with which someone is charged, at a trial",yes
1178,P1596,penalty,penalty imposed by an authority,yes
1179,P1598,consecrator,bishop who presided as consecrator or co-consecrator of this bishop,no
1180,P1599,Cambridge Alumni Database ID,identifier in the Cambridge Alumni Database/Alumni Cantabrigienses (ACAD),no
1181,P1600,Inventari del Patrimoni Arquitectònic de Catalunya code,identifier for an architectural property in Catalonia. max. 5-digit numeric,no
1182,P1601,Esperantist ID,number in the address book of early Esperanto speakers by Zamenhof,no
1183,P1602,Art UK venue ID,"authority control identifier for venues housing art, in the UK",no
1184,P1603,number of cases,"cumulative number of confirmed, probable and suspected occurrences",no
1185,P1604,biosafety level,level of the biocontainment precautions required to isolate dangerous biological agents,no
1186,P1605,has natural reservoir,host species for the pathogen in which it is endemic,no
1187,P1606,natural reservoir of,pathogen of which this species is a long-term host,no
1188,P1607,Dialnet author ID,identifier of an author in Dialnet,no
1189,P1608,Dialnet book ID,identifier of a book in Dialnet,no
1190,P1609,Dialnet journal ID,identifier of a journal in Dialnet,no
1191,P1610,Dialnet article ID,identifier of an article in Dialnet,no
1192,P1611,NATO code for grade,NATO Code for Grades of Military Personnel,yes
1193,P1612,Commons Institution page,"name of the institutions' page on Wikimedia Commons (without the prefix ""Institution"")",yes
1194,P1613,IRC channel URL,official IRC channel of an institution or project,no
1195,P1614,History of Parliament ID,identifier on the History of Parliament website,yes
1196,P1615,CLARA-ID,identifier from database about women visual artists,yes
1197,P1616,SIREN number,identifier for an organization in the SIRENE register maintained by INSEE,yes
1198,P1617,BBC Things ID,"identifier in the BBC Things database, automatically enriched with Wikipedia and MusicBrainz content",yes
1199,P1618,sport number,"number worn on a player's (competitor's) uniform, equipment, etc",yes
1200,P1619,date of official opening,"date or point in time a place, organization, or event officially opened",no
1201,P1620,plaintiff,party who initiates a lawsuit,no
1202,P1621,detail map,map containing details about the entire location,no
1203,P1622,driving side,side of the road that vehicles drive on in a given jurisdiction,no
1204,P1624,MarineTraffic Port ID,identifier for a port assigned by the MarineTraffic database,no
1205,P1625,has melody,this work has the melody of the following work,yes
1206,P1626,Thai cultural heritage ID,identifier for cultural heritage properties in Thailand,yes
1207,P1627,Ethnologue. com language code,identifier for a language in ethnologue.com,no
1208,P1628,equivalent property,"equivalent property in other ontologies (use in statements on properties, use property URI)",no
1209,P1629,Wikidata item of this property,item corresponding to the concept represented by the property,no
1210,P1630,formatter URL,"web page URL; URI template from which ""$1"" can be automatically replaced with the effective property value on items. If the site goes offline, set it to deprecated rank. If the formatter URL changes, add a new statement with preferred rank",no
1211,P1631,China Vitae person ID,identifier for a person in the China Vitae database,yes
1212,P1632,Hermann- Mauguin notation,"""Hermann-Mauguin notation of the mineral' s symmetry element (short form)""",no
1213,P1635,religious name,name taken or used as a member of a religious community,yes
1214,P1636,date of baptism,"date when a person was baptized. For times when only baptism records were available, this can be a good substitute for date of birth.",no
1215,P1637,undercarriage,type of aircraft landing gear the item is equipped with,no
1216,P1638,working title,temporary name of a product or project used during its development,no
1217,P1639,pendant of,"other work in a pair of opposing artworks, such as wedding portraits, commissioned together, but not always",yes
1218,P1640,curator,content specialist responsible for this collection or exhibition,yes
1219,P1641,port,"default communication endpoint in TCP, UDP, or other transport protocol",no
1220,P1642,acquisition transaction,how the player was acquired; qualifier for P54  (member of sports team),yes
1221,P1643,departure transaction,how the player was released or transferred from the roster; qualifier for P54  (member of sports team),yes
1222,P1644,messes.info Catholic church ID,identifier,no
1223,P1645,NIST/CODATA ID,identifier for a physical constant,no
1224,P1647,subproperty of,all resources related by this property are also related by that property,no
1225,P1648,Dictionary of Welsh Biography ID,identifier per the Dictionary of Welsh Biography,yes
1226,P1649,KMDb person ID,identifier for a person on the Korean Movie Database  (KMDb),yes
1227,P1650,BBF ID,"identifier in the archive database of the German ""Research Library for the History of Education"" (personal data of the teachers of Prussia)",no
1228,P1651,YouTube video ID,"identifier of a video on YouTube; qualify trailers with ""object has role""  (P3831)=""trailer""  (Q622550). For channels, use P2397; for playlists, use P4300",yes
1229,P1652,referee,referee or umpire of a match,yes
1230,P1653,TERC municipality code,identifier for a municipality per the Główny Urząd Statystyczny in Poland,no
1231,P1654,wing configuration,configuration of wing( s) used by an aircraft,no
1232,P1656,unveiled by,"person who unveils a statue, sculpture, memorial or plaque, etc.",yes
1233,P1657,MPA film rating,US film classification administered by the Motion Picture Association,yes
1234,P1659,related property,used to indicate another property that might provide additional information about the subject,no
1235,P1660,has index case,initial patient in the population of an epidemiological investigation,no
1236,P1661,Alexa rank,"the website's Alexa ranking with ""point in time""  (P585) as a qualifier for each value",yes
1237,P1662,DOI prefix,identifier specific to a DOI registrant,no
1238,P1663,ProCyclingStats cyclist ID,identifier on the website ProCyclingStats (www.procyclingstats.com),yes
1239,P1664,Cycling Database ID  (archived),identifier on the website Cycling Database (www.cyclingdatabase.com),yes
1240,P1665,Chessgames.com player ID,identifier on the website Chessgames.com,yes
1241,P1666,Chessclub.com member ID,identifier for a chess player's page at Chessclub.com (Internet Chess Club),yes
1242,P1667,Getty Thesaurus of Geographic Names ID,identifier in the Getty Thesaurus of Geographic Names,yes
1243,P1668,ATCvet,ATCvet code,no
1244,P1669,Cultural Objects Names Authority ID,identifier from the Getty Cultural Objects Name Authority,no
1245,P1670,Canadiana Authorities ID  (former scheme),obsolete identifier for authority control per the Library and,no
1246,P1671,route number,number of a rail or other public transport line,no
1247,P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say ""this taxon is the source...",no
1248,P1673,general formula,molecular formula of a class of compounds,no
1249,P1674,number confirmed,qualifier; number of instances or occurrences classified as confirmed for reporting purposes,no
1250,P1675,number probable,qualifier; number of instances or occurrences classified as probable (vs. confirmed),no
1251,P1676,number suspected,qualifier; number of instances or occurrences classified as suspected,no
1252,P1677,index case of,"primary case, patient zero: initial patient in the population of an epidemiological investigat...",no
1253,P1678,has vertex figure,the figure exposed when a corner of a polytope is sliced off,no
1254,P1679,Art UK artwork ID,identifier for artworks (publicly owned oil paintings and sculptures in the UK),yes
1255,P1680,subtitle,"for works, when the title is followed by a subtitle",yes
1256,P1683,quotation,quotation supporting the statement claim (to be used in the reference or qualifier field only...,yes
1257,P1684,inscription,"inscriptions, markings and signatures on an object",no
1258,P1685,Pokémon index,identification number of a Pokémon in a Pokédex or other official numbering system,yes
1259,P1686,for work,qualifier of award received (P166) to specify the work that an award was given to the creator for,yes
1260,P1687,Wikidata property,main Wikidata property for this item,no
1261,P1689,central government debt as a percent of GDP,State debt in relation to gross domestic product,no
1262,P1690,ICD-10-PCS,"identifier in the ICD-10-PCS (Procedure Coding System, International Classification of Diseases, 10th revision)",no
1263,P1691,operations and procedures key (OPS),official classification of operational procedures,no
1264,P1692,ICD-9-CM,identifier in the ICD adaption assigning diagnostic and procedure codes,no
1265,P1693,Terminologia Embryologica,standardized list of words used in the description of human embryologic and fetal structures,no
1266,P1694,Terminologia Histologica,controlled vocabulary for use in cytology and histology,no
1267,P1695,NLP ID (old),"National Library of Poland unique identifier. Format: ""a"" followed by 13 digits. For the newer 16-...",no
1268,P1696,inverse property,links a property to its inverse property (which relates the subject and object in reverse order),no
1269,P1697,total valid votes,vote count for the elections (excluding invalid votes),no
1270,P1699,SkyscraperPage buildi...,identifier for a building in the SkyscraperPage database,no
1271,P1700,SIPA ID,identifier in the SIPA (Sistema de Informação para o Património Arquitectónico) database of herit...,no
1272,P1702,DGPC ID,identifier in the DGPC (Directorate General of Cultural Heritage) database of heritage sites in ...,no
1273,P1703,is pollinated by,how pollen from the male anthers is transferred to the female stigma of a flower,no
1274,P1704,is pollinator of,plant that this animal visits for pollen (and that it pollinates),no
1275,P1705,native label,label for the items in their official language or their original language,no
1276,P1706,together with,qualifier to specify the item that this property is shared with,no
1277,P1707,Design & Art Australia Online ID,human identifier per Design & Art Australia Online,no
1278,P1708,LfDS object ID,identifier for national heritage sites issued by the Landesamt für Denkmalpflege Sachsen,no
1279,P1709,equivalent class,equivalent class in other ontologies  (use property URI),no
1280,P1710,Sächsische Biografie (GND) ID,GND identifier in a biographical dictionary of people from Saxony,yes
1281,P1711,British Museum person or institution,identifier for a person or institution in the British Museum person-institution thesaurus,yes
1282,P1712,Metacritic ID,identifier for Metacritic,yes
1283,P1713,biography at the Bundestag of Germany,link to the biography pages of the German parliament,yes
1284,P1714,Journalisted ID,"identifier on Journalisted, an independent, not-fo-profit website listing journalists' work",yes
1285,P1715,RKD/ESD (Slovenia) ID,reference number of intangible cultural heritage of Slovenia,no
1286,P1716,brand,commercial brand associated with the item,yes
1287,P1717,Sandre river ID,identifier of the French national Water Information System,no
1288,P1721,Hanyu Pinyin transliteration,hanyu pinyin transliteration of a Mandarin Chinese text (usually to be used as a qualifier),no
1289,P1725,beats per minute,"tempo of a musical work, indicated numerically (use P1558 for qualitative tempo markings)",no
1290,P1726,Florentine musea Inventario 1890 ID,national Florentine musea inventory from 1890 identifier,no
1291,P1727,Flora of North America taxon ID,identifier for a taxon in the Flora of North America database,no
1292,P1728,AllMusic artist ID,"identifier for an artist, musical group, or record label in the AllMusic database",yes
1293,P1729,AllMusic album ID,identifier for an album in AllMusic database,yes
1294,P1730,AllMusic song ID,identifier for a song in AllMusic database,yes
1295,P1731,Fach vocal classification,"method of classifying opera singers according to the range, weight, and color of their voices",no
1296,P1732,Naturbase ID,identifier in the Naturbase database published by the Norwegian Environment Agency,no
1297,P1733,Steam application ID,identifier for an application available from the Steam distribution platform,no
1298,P1734,oath of office date,when person swore the oath and assume or start the office of a position,yes
1299,P1735,Comedien. ch ID,identifier in Comedien.ch database of actors and commedians,yes
1300,P1736,Information Center for Israeli Art artist ID,Identifier for artists in the Information Center for Israeli Art,yes
1301,P1738,Merck Index monograph,URL stem of page in The Merck Index Online,no
1302,P1739,NACSIS-CAT bibliography ID,"identifier for books/ journals that are held in university libraries or research institutions in Japan, maintained by NACSIS-CAT cataloging system and accessible through CiNii Books",no
1303,P1740,category for films shot at this location,the object is a category for films shot at or in the subject,yes
1304,P1741,GTAA ID,"identifier for GTAA, a thesaurus used in audiovisual archives (NISV, EYE)",no
1305,P1743,Bradley and Fletcher checklist number,reference for a species in the Bradley and Fletcher checklist of British lepidoptera,no
1306,P1744,Agassiz checklist number,"reference for a species in the 2013 checklist of over 2,700 species British lepidoptera",no
1307,P1745,VASCAN ID,identifier for a taxon in the Database of Vascular Plants of Canada,no
1308,P1746,ZooBank ID for name or act,identifier for a name or nomenclatural act at ZooBank,no
1309,P1747,Flora of China ID,identifier for a taxon in Flora of China (English-language revision of Flora Reipublicae Popularis Sinicae),no
1310,P1748,NCI Thesaurus ID,"identifier in the United States National Cancer Institute Thesaurus, vocabulary for clinical care, translational and basic research, etc",no
1311,P1749,Parlement.com ID,"entry of described object on Parlement.com, website describing Dutch politics",yes
1312,P1750,name day,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from ""feast day"" (P: P841)",yes
1313,P1751,Art UK collection ID,"identifier for art collections, in the UK",yes
1314,P1752,scale,"proportional ratio of a linear dimension of a model, map, etc, to the same feature of the original - 1: n. Use 1 for lifesize",no
1315,P1753,list related to category,Wikimedia list equivalent to a Wikimedia category,no
1316,P1754,category related to list,Wikimedia category that matches the Wikimedia list,no
1317,P1755,Aviation Safety Network accident ID,identifier for an accident description per the Aviation Safety Network' s database,no
1318,P1760,Aviation Safety Network Wikibase Occurrence,identifier for an item in the Aviation Safety Network' s database,no
1319,P1761,Watson  & Dallwitz family ID,familyID in Watson  & Dallwitz: The families of flowering plants,no
1320,P1762,Hornbostel- Sachs classification,Hornbostel- Sachs classification of a musical instrument,no
1321,P1763,National Pipe Organ Register ID,identifier in the (United Kingdom) National Pipe Organ Register,no
1322,P1764,Flemish Heritage Object ID,"identifier for a ""relict"" in the database of the Flemish organization for Immovable Heritage",no
1323,P1766,place name sign,image of (road) sign with place name on it,no
1324,P1769,denkXweb object ID,identifier in the online database for cultural heritage monuments in the German state of Hesse,no
